RunningTime,A,B,C,D,SumOfRunning
2018-04-26 21:23:18-2018-04-26 21:23:28,6,1,0,0,0.863
2018-04-26 21:23:28-2018-04-26 21:23:38,6,2,0,0,1.083
2018-04-26 21:23:38-2018-04-26 21:23:48,7,2,1,1,1.4240000000000002
2018-04-26 21:23:48-2018-04-26 21:23:58,6,1,0,0,0.9199999999999999
2018-04-26 21:23:58-2018-04-26 21:24:08,7,2,0,0,1.263
2018-04-26 21:24:08-2018-04-26 21:24:18,6,2,1,1,2148.47
2018-04-26 21:24:18-2018-04-26 21:24:28,2,7,0,0,1.085
2018-04-26 21:24:28-2018-04-26 21:24:38,2,6,0,0,1.156
2018-04-26 21:24:38-2018-04-26 21:24:48,1,7,0,1,1.464
2018-04-26 21:24:48-2018-04-26 21:24:58,2,6,1,0,1.088
2018-04-26 21:24:58-2018-04-26 21:25:08,2,7,0,0,1.268
2018-04-26 21:25:08-2018-04-26 21:25:18,1,6,0,1,1.226
2018-04-26 21:25:18-2018-04-26 21:25:28,6,2,1,0,2312.468
2018-04-26 21:25:28-2018-04-26 21:25:38,7,2,0,0,1.3050000000000002
2018-04-26 21:25:38-2018-04-26 21:25:48,6,1,0,1,1.093
2018-04-26 21:25:48-2018-04-26 21:25:58,7,2,1,0,1.315
2018-04-26 21:25:58-2018-04-26 21:26:08,6,2,0,0,1.205
2018-04-26 21:26:08-2018-04-26 21:26:18,7,1,0,1,1.474
