,StartTime,RunTime,Query
0,2018-04-16 21:04:15.602104,0.562,select * from winecellar.wine_test_1
1,2018-04-16 21:52:07.540298,0.534,select * from wine_test_1
2,2018-04-16 21:52:15.591597,0.545,select * from wine_test_1
3,2018-04-16 21:54:16.724277,18.133,insert into wine_test_1 select * from wine_test_1
4,2018-04-16 21:54:25.672025,0.248,show create table wine_test_1
5,2018-04-16 21:57:22.649417,1.54,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4)
Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
6,2018-04-16 21:57:25.473104,2.164,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
7,2018-04-16 21:57:26.413914,15.299,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
8,2018-04-16 21:57:27.088056,6.73,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
9,2018-04-16 21:57:27.922020,28.314,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
10,2018-04-16 21:57:28.590929,81.68,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
