,StartTime,RunTime,Query
0,2018-04-25 16:27:00.311547,0.124,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
1,2018-04-25 16:27:01.830626,0.171,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
2,2018-04-25 16:27:03.348748,0.127,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
3,2018-04-25 16:27:04.799557,0.11,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  description1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  description2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  description3,  picture3 from wine_test_1 where  name0 = CHATEAU DE SAINT COSME and  year0 = 2009 and  grapes0 = Grenache / Syrah and  country0 = France and  region0 = Southern Rhone and  description0 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture0 = saint_cosme.jpg and  name1 = CHATEAU DE SAINT COSME and  year1 = 2009 and  grapes1 = Grenache / Syrah and  country1 = France and  region1 = Southern Rhone and  description1 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture1 = saint_cosme.jpg and  name2 = CHATEAU DE SAINT CO..."
4,2018-04-25 16:27:04.866516,0.117,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
5,2018-04-25 16:27:06.384062,0.11,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
6,2018-04-25 16:27:07.902119,0.109,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
7,2018-04-25 16:27:09.421551,0.109,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
8,2018-04-25 16:27:10.818574,0.135,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  description1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  description2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  description3,  picture3 from wine_test_1 where  name0 = CHATEAU DE SAINT COSME and  year0 = 2009 and  grapes0 = Grenache / Syrah and  country0 = France and  region0 = Southern Rhone and  description0 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture0 = saint_cosme.jpg and  name1 = CHATEAU DE SAINT COSME and  year1 = 2009 and  grapes1 = Grenache / Syrah and  country1 = France and  region1 = Southern Rhone and  description1 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture1 = saint_cosme.jpg and  name2 = CHATEAU DE SAINT CO..."
9,2018-04-25 16:27:10.944566,0.109,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
10,2018-04-25 16:27:12.463532,0.124,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
11,2018-04-25 16:27:13.977786,0.11,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
12,2018-04-25 16:27:15.495238,0.142,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
13,2018-04-25 16:27:16.834568,0.131,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  description1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  description2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  description3,  picture3 from wine_test_1 where  name0 = CHATEAU DE SAINT COSME and  year0 = 2009 and  grapes0 = Grenache / Syrah and  country0 = France and  region0 = Southern Rhone and  description0 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture0 = saint_cosme.jpg and  name1 = CHATEAU DE SAINT COSME and  year1 = 2009 and  grapes1 = Grenache / Syrah and  country1 = France and  region1 = Southern Rhone and  description1 = The aromas of fruit and spice give one a hint of the light drinkability of this lovely wine, which makes an excellent complement to fish dishes. and  picture1 = saint_cosme.jpg and  name2 = CHATEAU DE SAINT CO..."
14,2018-04-25 16:27:17.007709,0.113,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
15,2018-04-25 16:27:18.524540,0.13,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
16,2018-04-25 16:27:20.041168,0.106,"select  name0,  year0,  grapes0,  country0,  region0,  description0,  picture0 from wine_test_1 where  name0 = WATERBROOK and  year0 = 2009 and  grapes0 = Merlot and  country0 = USA and  region0 = Washington and  description0 = Legend has it the gods didn't share their ambrosia with mere mortals.  This merlot may be the closest we've ever come to a taste of heaven. and  picture0 = waterbrook.jpg"
