RunningTime,A,B,C,D,SumOfRunning
2018-04-25 16:37:49-2018-04-25 16:37:59,6,1,0,0,0.967
2018-04-25 16:37:59-2018-04-25 16:38:09,7,2,0,0,1.22
2018-04-25 16:38:09-2018-04-25 16:38:19,6,2,1,1,18786.345999999998
2018-04-25 16:38:19-2018-04-25 16:38:29,7,1,0,0,0.923
2018-04-25 16:38:29-2018-04-25 16:3a8:39,6,2,0,0,1.1520000000000001
2018-04-25 16:38:39-2018-04-25 16:38:49,7,2,0,0,1.088
2018-04-25 16:38:49-2018-04-25 16:38:59,1,7,1,1,9742.447
2018-04-25 16:38:59-2018-04-25 16:39:09,2,7,0,0,1.11
2018-04-25 16:39:09-2018-04-25 16:39:19,2,6,0,0,1.0659999999999998
2018-04-25 16:39:19-2018-04-25 16:39:29,1,7,0,1,1.471
2018-04-25 16:39:29-2018-04-25 16:39:39,2,6,1,0,1.048
2018-04-25 16:39:39-2018-04-25 16:39:49,2,7,0,0,1.213
2018-04-25 16:39:49-2018-04-25 16:39:59,6,1,0,1,1.2970000000000002
2018-04-25 16:39:59-2018-04-25 16:40:09,7,2,1,0,9850.003999999999
2018-04-25 16:40:09-2018-04-25 16:40:19,7,2,0,0,1.322
2018-04-25 16:40:19-2018-04-25 16:40:29,6,1,0,1,1.807
2018-04-25 16:40:29-2018-04-25 16:40:39,7,2,0,0,1.4540000000000002
2018-04-25 16:40:39-2018-04-25 16:40:49,6,2,1,0,1.153
2018-04-25 16:40:49-2018-04-25 16:40:59,1,0,0,1,0.29900000000000004
2018-04-25 16:40:59-2018-04-25 16:41:09,0,0,0,0,0.0
