,StartTime,RunTime,Query
0,2018-04-30 18:19:22.410629,2450.742,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
1,2018-04-30 18:19:22.406196,4194.844,"select name0,year0 from wine_test_1 group by name0, year0"
2,2018-04-30 18:19:27.410908,2485.643,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
3,2018-04-30 18:19:32.409543,2427.698,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
4,2018-04-30 18:19:37.410825,2521.781,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
5,2018-04-30 18:19:42.409608,2465.438,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
6,2018-04-30 18:19:42.409238,3812.96,"select name0,year0 from wine_test_1 group by name0, year0"
7,2018-04-30 18:19:47.409437,2449.63,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
8,2018-04-30 18:19:52.409646,2543.655,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
9,2018-04-30 18:19:57.469306,2537.421,"select  name0,  year0,  grapes0,  country0,  region0, picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3,count(*)  from wine_test_1 where year0 = 2009 and country0 = 'Italy' and id < 300000 Group by name0,  year0,  grapes0,  country0,  region0,  picture0,  name1,  year1,  grapes1,  country1,  region1,  picture1,  name2,  year2,  grapes2,  country2,  region2,  picture2,  name3,  year3,  grapes3,  country3,  region3,  picture3"
