RunningTime,A,B,C,D,SumOfRunning
2018-04-30 18:19:22-2018-04-30 18:19:32,2,0,0,0,4936.385
2018-04-30 18:19:32-2018-04-30 18:19:42,2,0,0,0,4949.478999999999
2018-04-30 18:19:42-2018-04-30 18:19:52,2,1,0,0,8728.028
2018-04-30 18:19:52-2018-04-30 18:20:02,2,0,0,0,5081.076000000001
2018-04-30 18:20:02-2018-04-30 18:20:12,2,1,0,0,8770.865999999998
2018-04-30 18:20:12-2018-04-30 18:20:22,2,0,0,0,5121.068
2018-04-30 18:20:22-2018-04-30 18:20:32,1,2,0,0,9664.001
2018-04-30 18:20:32-2018-04-30 18:20:42,0,2,0,0,7208.855
2018-04-30 18:20:42-2018-04-30 18:20:52,1,2,0,0,10000.108
2018-04-30 18:20:52-2018-04-30 18:21:02,0,2,0,0,7532.831
2018-04-30 18:21:02-2018-04-30 18:21:12,1,2,0,0,9774.719
2018-04-30 18:21:12-2018-04-30 18:21:22,0,2,0,0,7257.92
2018-04-30 18:21:22-2018-04-30 18:21:32,2,1,0,0,8880.889000000001
2018-04-30 18:21:32-2018-04-30 18:21:42,2,0,0,0,5280.511
2018-04-30 18:21:42-2018-04-30 18:21:52,2,1,0,0,9078.094
2018-04-30 18:21:52-2018-04-30 18:22:02,2,0,0,0,5133.0599999999995
2018-04-30 18:22:02-2018-04-30 18:22:12,2,1,0,0,9035.999
