RunningTime,A,B,C,D,SumOfRunning
2018-04-30 18:33:35-2018-04-30 18:33:45,2,1,0,0,6034.647999999999
2018-04-30 18:33:45-2018-04-30 18:33:55,1,1,0,0,3541.929
2018-04-30 18:33:55-2018-04-30 18:34:05,2,0,0,0,4887.274
2018-04-30 18:34:05-2018-04-30 18:34:15,2,1,0,0,6314.635
2018-04-30 18:34:15-2018-04-30 18:34:25,2,0,0,0,4994.279
2018-04-30 18:34:25-2018-04-30 18:34:35,3,1,0,0,8410.135
2018-04-30 18:34:35-2018-04-30 18:34:45,0,2,0,0,1950.442
2018-04-30 18:34:45-2018-04-30 18:34:55,0,1,0,0,990.1
2018-04-30 18:34:55-2018-04-30 18:35:05,1,3,0,0,5578.723
2018-04-30 18:35:05-2018-04-30 18:35:15,1,2,0,0,4775.371999999999
2018-04-30 18:35:15-2018-04-30 18:35:25,0,2,0,0,2028.3829999999998
2018-04-30 18:35:25-2018-04-30 18:35:35,1,2,0,0,4551.615
2018-04-30 18:35:35-2018-04-30 18:35:45,2,0,0,0,5110.464
2018-04-30 18:35:45-2018-04-30 18:35:55,2,1,0,0,6084.407999999999
2018-04-30 18:35:55-2018-04-30 18:36:05,2,0,0,0,5103.344000000001
2018-04-30 18:36:05-2018-04-30 18:36:15,2,1,0,0,6146.584999999999
2018-04-30 18:36:15-2018-04-30 18:36:25,1,0,0,0,2632.3790000000004
