RunningTime,A,B,C,D,SumOfRunning
2018-04-30 18:50:28-2018-04-30 18:50:38,2,0,0,0,8446.805
2018-04-30 18:50:38-2018-04-30 18:50:48,2,0,0,0,8564.364000000001
2018-04-30 18:50:48-2018-04-30 18:50:58,2,1,0,0,9851.369999999999
2018-04-30 18:50:58-2018-04-30 18:51:08,2,0,0,0,9306.795
2018-04-30 18:51:08-2018-04-30 18:51:18,2,1,0,0,9760.629
2018-04-30 18:51:18-2018-04-30 18:51:28,2,0,0,0,8973.597
2018-04-30 18:51:28-2018-04-30 18:51:38,1,3,0,0,7850.38
2018-04-30 18:51:38-2018-04-30 18:51:48,0,1,0,0,1078.704
2018-04-30 18:51:48-2018-04-30 18:51:58,1,2,0,0,6610.699
2018-04-30 18:51:58-2018-04-30 18:52:08,0,2,0,0,2121.855
2018-04-30 18:52:08-2018-04-30 18:52:18,1,2,0,0,6527.376
2018-04-30 18:52:18-2018-04-30 18:52:28,0,2,0,0,2124.58
2018-04-30 18:52:28-2018-04-30 18:52:38,2,1,0,0,9423.202000000001
2018-04-30 18:52:38-2018-04-30 18:52:48,2,0,0,0,8746.975
2018-04-30 18:52:48-2018-04-30 18:52:58,2,1,0,0,9727.092
2018-04-30 18:52:58-2018-04-30 18:53:08,2,0,0,0,9286.401
2018-04-30 18:53:08-2018-04-30 18:53:18,2,1,0,0,9867.84
