RunningTime,A,B,C,D,SumOfRunning
2018-05-04 18:23:46-2018-05-04 18:24:45,15,0,0,0,64008.64
2018-05-04 18:24:45-2018-05-04 18:25:44,16,2,0,0,76133.45500000002
2018-05-04 18:25:44-2018-05-04 18:26:43,5,5,0,0,25746.947
2018-05-04 18:26:43-2018-05-04 18:27:42,2,14,0,0,21839.953999999998
2018-05-04 18:27:42-2018-05-04 18:28:41,5,4,0,0,25505.773
2018-05-04 18:28:41-2018-05-04 18:29:40,14,3,0,0,63333.899000000005
2018-05-04 18:29:40-2018-05-04 18:30:39,5,4,0,0,24405.25
2018-05-04 18:30:39-2018-05-04 18:31:38,3,16,0,0,27802.195
2018-05-04 18:31:38-2018-05-04 18:32:37,13,2,0,0,58981.459
2018-05-04 18:32:37-2018-05-04 18:33:36,15,4,0,0,69429.375
2018-05-04 18:33:36-2018-05-04 18:34:35,17,4,0,0,80774.04199999999
2018-05-04 18:34:35-2018-05-04 18:35:34,2,13,0,0,20837.119
2018-05-04 18:35:34-2018-05-04 18:36:33,12,2,0,0,54074.05399999999
2018-05-04 18:36:33-2018-05-04 18:37:32,7,4,0,0,34881.202000000005
2018-05-04 18:37:32-2018-05-04 18:38:31,17,4,0,0,86091.742
