RunningTime,A,B,C,D,SumOfRunning
2018-05-02 22:29:39-2018-05-02 22:30:39,13,2,0,0,40645.861000000004
2018-05-02 22:30:39-2018-05-02 22:31:39,6,1,0,0,19282.838
2018-05-02 22:31:39-2018-05-02 22:32:39,3,3,0,0,18859.15
2018-05-02 22:32:39-2018-05-02 22:33:39,1,4,0,0,17923.873
2018-05-02 22:33:39-2018-05-02 22:34:39,5,5,0,0,31325.602
2018-05-02 22:34:39-2018-05-02 22:35:39,6,2,0,0,23087.120000000003
2018-05-02 22:35:39-2018-05-02 22:36:39,4,4,0,0,26760.251000000004
2018-05-02 22:36:39-2018-05-02 22:37:39,2,8,0,0,34200.667
2018-05-02 22:37:39-2018-05-02 22:38:39,9,1,0,0,26969.681000000004
2018-05-02 22:38:39-2018-05-02 22:39:39,7,3,0,0,29334.610999999997
2018-05-02 22:39:39-2018-05-02 22:40:39,5,1,0,0,16789.587
2018-05-02 22:40:39-2018-05-02 22:41:39,3,10,0,0,44291.072
2018-05-02 22:41:39-2018-05-02 22:42:39,12,5,0,0,50580.657
2018-05-02 22:42:39-2018-05-02 22:43:39,5,4,0,0,27413.535
