RunningTime,A,B,C,D,SumOfRunning
2018-05-05 23:11:10-2018-05-05 23:12:10,16,2,0,0,54705.398
2018-05-05 23:12:10-2018-05-05 23:13:10,2,16,0,0,25552.191
2018-05-05 23:13:10-2018-05-05 23:14:10,14,2,0,0,61218.266
2018-05-05 23:14:10-2018-05-05 23:15:10,11,1,0,0,39780.316
2018-05-05 23:15:10-2018-05-05 23:16:10,2,12,0,0,20041.828999999998
2018-05-05 23:16:10-2018-05-05 23:17:10,14,3,0,0,60900.458
2018-05-05 23:17:10-2018-05-05 23:18:10,3,14,0,0,25790.222999999998
2018-05-05 23:18:10-2018-05-05 23:19:10,3,16,0,0,28677.432
2018-05-05 23:19:10-2018-05-05 23:20:10,15,2,0,0,68856.42199999999
2018-05-05 23:20:10-2018-05-05 23:21:10,14,4,0,0,62024.19699999999
2018-05-05 23:21:10-2018-05-05 23:22:10,16,4,0,0,67672.016
2018-05-05 23:22:10-2018-05-05 23:23:10,2,14,0,0,22494.571000000004
2018-05-05 23:23:10-2018-05-05 23:24:10,15,1,0,0,64359.691
2018-05-05 23:24:10-2018-05-05 23:25:10,2,14,0,0,22201.364
2018-05-05 23:25:10-2018-05-05 23:26:10,16,3,0,0,75170.664
2018-05-05 23:26:10-2018-05-05 23:27:10,3,11,0,0,23100.522999999994
2018-05-05 23:27:10-2018-05-05 23:28:10,3,15,0,0,26849.11
2018-05-05 23:28:10-2018-05-05 23:29:10,15,1,0,0,63727.305
2018-05-05 23:29:10-2018-05-05 23:30:10,2,14,0,0,21922.559
2018-05-05 23:30:10-2018-05-05 23:31:10,1,11,0,0,14786.873
2018-05-05 23:31:10-2018-05-05 23:32:10,14,2,0,0,61301.513
2018-05-05 23:32:10-2018-05-05 23:33:10,15,1,0,0,44276.354999999996
2018-05-05 23:33:10-2018-05-05 23:34:10,2,16,0,0,24012.976
2018-05-05 23:34:10-2018-05-05 23:35:10,14,2,0,0,60550.828
2018-05-05 23:35:10-2018-05-05 23:36:10,11,1,0,0,34054.401
2018-05-05 23:36:10-2018-05-05 23:37:10,2,12,0,0,20059.02
2018-05-05 23:37:10-2018-05-05 23:38:10,14,3,0,0,63180.93
2018-05-05 23:38:10-2018-05-05 23:39:10,3,14,0,0,26600.913
2018-05-05 23:39:10-2018-05-05 23:40:10,3,16,0,0,27964.644
2018-05-05 23:40:10-2018-05-05 23:41:10,15,2,0,0,66668.285
2018-05-05 23:41:10-2018-05-05 23:42:10,14,4,0,0,66937.74699999999
2018-05-05 23:42:10-2018-05-05 23:43:10,16,4,0,0,71571.911
2018-05-05 23:43:10-2018-05-05 23:44:10,2,14,0,0,22014.029000000002
2018-05-05 23:44:10-2018-05-05 23:45:10,15,1,0,0,63201.113000000005
2018-05-05 23:45:10-2018-05-05 23:46:10,2,14,0,0,21848.902
2018-05-05 23:46:10-2018-05-05 23:47:10,16,3,0,0,74403.09
2018-05-05 23:47:10-2018-05-05 23:48:10,3,11,0,0,22853.18
2018-05-05 23:48:10-2018-05-05 23:49:10,3,15,0,0,27160.049999999996
2018-05-05 23:49:10-2018-05-05 23:50:10,15,1,0,0,64853.466
2018-05-05 23:50:10-2018-05-05 23:51:10,2,14,0,0,21856.836
2018-05-05 23:51:10-2018-05-05 23:52:10,1,11,0,0,14896.452000000001
2018-05-05 23:52:10-2018-05-05 23:53:10,14,2,0,0,60502.381
2018-05-05 23:53:10-2018-05-05 23:54:10,15,1,0,0,45977.079
2018-05-05 23:54:10-2018-05-05 23:55:10,2,16,0,0,24865.130000000005
2018-05-05 23:55:10-2018-05-05 23:56:10,14,2,0,0,61911.55499999999
2018-05-05 23:56:10-2018-05-05 23:57:10,10,0,0,0,25015.466
2018-05-05 23:57:10-2018-05-05 23:58:10,1,5,0,0,13814.213
2018-05-05 23:58:10-2018-05-05 23:59:10,7,9,0,0,37815.222
2018-05-05 23:59:10-2018-05-06 00:00:10,10,7,0,0,50049.742999999995
2018-05-06 00:00:10-2018-05-06 00:01:10,3,16,0,0,28015.699999999997
2018-05-06 00:01:10-2018-05-06 00:02:10,7,9,0,0,38575.757
2018-05-06 00:02:10-2018-05-06 00:03:10,15,3,0,0,63560.060999999994
2018-05-06 00:03:10-2018-05-06 00:04:10,16,4,0,0,69153.443
2018-05-06 00:04:10-2018-05-06 00:05:10,9,8,0,0,48216.746
2018-05-06 00:05:10-2018-05-06 00:06:10,7,9,0,0,39699.475999999995
2018-05-06 00:06:10-2018-05-06 00:07:10,10,6,0,0,47643.016
2018-05-06 00:07:10-2018-05-06 00:08:10,9,10,0,0,48891.56599999999
2018-05-06 00:08:10-2018-05-06 00:09:10,10,6,0,0,49215.395000000004
2018-05-06 00:09:10-2018-05-06 00:10:10,3,12,0,0,24476.264000000003
2018-05-06 00:10:10-2018-05-06 00:11:10,7,10,0,0,39846.627
2018-05-06 00:11:10-2018-05-06 00:12:10,10,6,0,0,48872.229
2018-05-06 00:12:10-2018-05-06 00:13:10,2,13,0,0,21506.376999999997
2018-05-06 00:13:10-2018-05-06 00:14:10,6,7,0,0,32001.483999999997
2018-05-06 00:14:10-2018-05-06 00:15:10,14,2,0,0,52480.520000000004
2018-05-06 00:15:10-2018-05-06 00:16:10,10,8,0,0,38705.182
2018-05-06 00:16:10-2018-05-06 00:17:10,7,9,0,0,39506.032
2018-05-06 00:17:10-2018-05-06 00:18:10,13,2,0,0,49316.744
2018-05-06 00:18:10-2018-05-06 00:19:10,7,5,0,0,28006.376999999997
2018-05-06 00:19:10-2018-05-06 00:20:10,7,9,0,0,38541.153000000006
2018-05-06 00:20:10-2018-05-06 00:21:10,10,7,0,0,48777.195999999996
2018-05-06 00:21:10-2018-05-06 00:22:10,3,16,0,0,28435.431000000004
2018-05-06 00:22:10-2018-05-06 00:23:10,7,9,0,0,40008.199
2018-05-06 00:23:10-2018-05-06 00:24:10,15,3,0,0,72278.33699999998
2018-05-06 00:24:10-2018-05-06 00:25:10,16,4,0,0,75671.9
2018-05-06 00:25:10-2018-05-06 00:26:10,9,8,0,0,50307.76500000001
2018-05-06 00:26:10-2018-05-06 00:27:10,7,9,0,0,37376.193
2018-05-06 00:27:10-2018-05-06 00:28:10,10,6,0,0,47406.667
2018-05-06 00:28:10-2018-05-06 00:29:10,9,10,0,0,48703.691
2018-05-06 00:29:10-2018-05-06 00:30:10,10,6,0,0,49065.031
2018-05-06 00:30:10-2018-05-06 00:31:10,3,12,0,0,24042.374
2018-05-06 00:31:10-2018-05-06 00:32:10,7,10,0,0,38346.193
2018-05-06 00:32:10-2018-05-06 00:33:10,10,6,0,0,48218.263999999996
2018-05-06 00:33:10-2018-05-06 00:34:10,2,13,0,0,21140.648999999994
2018-05-06 00:34:10-2018-05-06 00:35:10,6,7,0,0,32981.319
