RunningTime,A,B,C,D,SumOfRunning
2018-05-01 10:18:48-2018-05-01 10:19:48,13,2,0,0,58208.91500000001
2018-05-01 10:19:48-2018-05-01 10:20:48,6,1,0,0,26054.74
2018-05-01 10:20:48-2018-05-01 10:21:48,4,3,0,0,20355.16
2018-05-01 10:21:48-2018-05-01 10:22:48,1,4,0,0,8311.778999999999
2018-05-01 10:22:48-2018-05-01 10:23:48,5,5,0,0,26585.872000000003
2018-05-01 10:23:48-2018-05-01 10:24:48,6,2,0,0,27692.407
2018-05-01 10:24:48-2018-05-01 10:25:48,4,4,0,0,20950.654000000002
2018-05-01 10:25:48-2018-05-01 10:26:48,2,8,0,0,16971.86
2018-05-01 10:26:48-2018-05-01 10:27:48,9,1,0,0,40819.044
2018-05-01 10:27:48-2018-05-01 10:28:48,7,3,0,0,32605.563
2018-05-01 10:28:48-2018-05-01 10:29:48,5,1,0,0,22683.411
2018-05-01 10:29:48-2018-05-01 10:30:48,3,10,0,0,24241.82
2018-05-01 10:30:48-2018-05-01 10:31:48,12,5,0,0,56259.15800000001
2018-05-01 10:31:48-2018-05-01 10:32:48,5,4,0,0,25935.915999999997
