RunningTime,A,B,C,SumOfRunning
2018-04-19 10:07:44.897180,0,1,0,8878.214
2018-04-19 10:07:45.894116,0,0,1,7881.934
2018-04-19 10:07:47.411745,1,0,0,9306.25
2018-04-19 10:07:55.818378,0,0,1,900.441
2018-04-19 10:07:56.819666,0,1,0,0.135
2018-04-19 10:07:58.804703,0,0,1,0.603
2018-04-19 10:07:58.861149,0,1,0,0.115
2018-04-19 10:08:00.426770,1,0,0,0.114
2018-04-19 10:08:00.848834,0,0,1,0.11599999999999999
2018-04-19 10:08:02.888697,0,0,1,0.09
2018-04-19 10:07:59.900894,0,1,0,7867.302
2018-04-19 10:08:03.928667,0,0,1,3839.8190000000004
2018-04-19 10:08:03.463733,1,0,0,7227.964
2018-04-19 10:08:08.803585,0,0,1,1888.611
2018-04-19 10:08:10.810013,0,1,0,12910.238000000001
2018-04-19 10:08:11.778407,0,0,1,11942.08
2018-04-19 10:08:13.373208,1,0,0,12817.718
2018-04-19 10:08:25.766272,0,1,0,16275.507
2018-04-19 10:08:26.781771,0,0,1,15260.213
2018-04-19 10:08:29.969288,1,0,0,13913.753
2018-04-19 10:08:45.549550,1,0,0,0.10300000000000001
2018-04-19 10:08:44.080001,0,1,0,7678.605
2018-04-19 10:08:45.085029,0,0,1,6673.795
2018-04-19 10:08:48.592262,1,0,0,5152.667
2018-04-19 10:08:52.804411,0,1,0,10191.476
2018-04-19 10:08:52.805049,0,0,1,10190.987
2018-04-19 10:09:05.041367,0,1,0,0.134
2018-04-19 10:08:57.520834,1,0,0,7734.11
2018-04-19 10:09:06.035687,0,0,1,0.45299999999999996
2018-04-19 10:09:07.080136,0,0,1,0.509
2018-04-19 10:09:08.122736,0,0,1,0.08
2018-04-19 10:09:07.080692,0,1,0,9361.709
2018-04-19 10:09:11.170339,0,0,1,5272.33
2018-04-19 10:09:08.922782,1,0,0,9926.511999999999
2018-04-19 10:09:17.479683,0,0,1,1370.0810000000001
2018-04-19 10:09:20.974922,0,0,1,0.16
2018-04-19 10:09:21.723328,1,0,0,0.10300000000000001
2018-04-19 10:09:18.488674,0,1,0,7898.653
2018-04-19 10:09:22.020624,0,0,1,4366.893
2018-04-19 10:09:28.457099,0,0,1,0.17600000000000002
2018-04-19 10:09:24.759312,1,0,0,3969.687
2018-04-19 10:09:27.456940,0,1,0,7887.86
2018-04-19 10:09:31.494129,0,0,1,3850.893
2018-04-19 10:09:37.388194,0,1,0,0.106
2018-04-19 10:09:32.631201,1,0,0,4807.249
2018-04-19 10:09:38.391713,0,0,1,0.5920000000000001
2018-04-19 10:09:38.432641,0,1,0,0.131
2018-04-19 10:09:40.429536,0,0,1,0.094
2018-04-19 10:09:40.218986,1,0,0,2162.9570000000003
2018-04-19 10:09:40.468328,0,1,0,14105.358999999999
2018-04-19 10:09:41.468220,0,0,1,13105.631000000001
2018-04-19 10:09:45.054257,1,0,0,11600.151000000002
2018-04-19 10:09:56.617477,0,1,0,7339.159000000001
2018-04-19 10:09:57.617775,0,0,1,6339.213000000001
2018-04-19 10:09:59.434900,1,0,0,6791.456999999999
2018-04-19 10:10:05.994241,0,1,0,6889.094
2018-04-19 10:10:07.011398,0,0,1,5872.475
2018-04-19 10:10:10.036868,1,0,0,4919.055
2018-04-19 10:10:13.921824,0,1,0,7659.893
