RunningTime,A,B,C,SumOfRunning
2018-04-17 22:15:56.365654,1,0,0,0.225
2018-04-17 22:16:40.720567,1,0,0,0.08900000000000001
2018-04-17 22:19:35.613127,1,0,0,0.138
2018-04-17 22:20:11.965605,1,0,0,404.26300000000003
2018-04-17 22:21:42.521372,1,0,0,402.85
2018-04-17 22:21:44.298838,1,0,0,420.37800000000004
2018-04-17 22:21:46.331939,1,0,0,370.151
2018-04-17 22:21:47.723870,1,0,0,395.098
2018-04-17 22:21:49.580437,1,0,0,439.43
2018-04-17 22:21:51.343919,1,0,0,375.73900000000003
2018-04-17 22:21:52.963121,1,0,0,410.582
2018-04-17 22:21:54.364752,1,0,0,369.75800000000004
2018-04-17 22:21:56.127045,1,0,0,420.915
2018-04-17 22:21:57.727871,1,0,0,368.574
2018-04-17 22:22:15.812922,0,0,1,0.461
2018-04-17 22:22:15.862108,0,0,1,0.7979999999999999
2018-04-17 22:22:15.959395,0,0,1,0.524
2018-04-17 22:22:16.090581,0,0,1,0.34700000000000003
2018-04-17 22:22:16.214315,0,0,1,0.331
2018-04-17 22:22:16.249112,0,0,1,0.446
2018-04-17 22:22:16.284175,0,0,1,0.33299999999999996
2018-04-17 22:22:16.329962,0,0,1,0.314
2018-04-17 22:22:16.365842,0,0,1,0.524
2018-04-17 22:22:16.436660,0,0,1,0.342
2018-04-17 22:29:43.185499,0,0,1,0.65
2018-04-17 22:29:43.224079,0,0,1,0.446
2018-04-17 22:29:43.260483,0,0,1,0.5379999999999999
2018-04-17 22:29:43.327046,0,0,1,0.382
2018-04-17 22:29:43.378417,0,0,1,0.55
2018-04-17 22:31:59.028499,0,1,0,2433.72
